Dimensions;Categories;CODE
Education level;Early childhood educational development (ISCED 01);ISC_01
Education level;Pre-primary education (ISCED 02);ISC_02
Education level;Early childhood care and education unspecified (ISCED 0);ISC_0
Education level;Primary education (ISCED 1);ISC_1
Education level;Secondary education unspecified (ISCED 2, 3);ISC_23
Education level;Lower secondary education (ISCED 2);ISC_2
Education level;Upper secondary education (ISCED 3);ISC_3
Education level;Post-secondary non-tertiary (ISCED 4);ISC_4
Education level;Short-cycle tertiary education (ISCED 5);ISC_5
Education level;Bachelor or equivalent (ISCED 6);ISC_6
Education level;Master or equivalent (ISCED 7);ISC_7
Education level;Doctoral or equivalent (ISCED 8);ISC_8
Education level;Higher education unspecified (ISCED 5, 6, 7, 8);ISC_5678
Education level;Multiple levels;ISC_99
Education level;NA;NA
Education orientation;General (academic);O_G
Education orientation;Vocational/technical (TVET);O_VET
Education orientation;Combined general and vocational;O_All
Education orientation;NA;NA
Learning modality;Formal education;M_FORM
Learning modality;Non-formal education;M_NFORM
Learning modality;Informal learning;M_INFORM
Learning modality;Lifelong learning;M_LL
Learning modality;NA;NA
Ownership/Provision;Public (state-run);OWN_PUB
Ownership/Provision;Private non-profit;OWN_PRIV
Ownership/Provision;Private for-profit;OWN_PFP
Ownership/Provision;Public-private partnership (PPP);OWN_PPP
Ownership/Provision;Community or faith-based;OWN_COM
Ownership/Provision;NA;NA
Teachers;Initial education and training;T_INI
Teachers;Recruitment and hiring;T_RECR
Teachers;Professional development;T_PDEV
Teachers;Working conditions and salaries;T_COND
Teachers;Qualification and certification;T_QUAL
Teachers;Legal status and rights;T_STAT
Teachers;Teacher evaluation and performance;T_EVAL
Teachers;Teacher supply and shortages;T_SUPP
Teachers;Teacher other;T_OTHER
Teachers;NA;NA
Infrastructure & resources;School buildings and physical infrastructure;INFRA_BUILD
Infrastructure & resources;Classrooms and learning environments;INFRA_CLASS
Infrastructure & resources;Teaching and learning materials;INFRA_TLM
Infrastructure & resources;ICT and digital infrastructure;INFRA_ICT
Infrastructure & resources;Laboratories and libraries;INFRA_LABS
Infrastructure & resources;WASH facilities (water, sanitation and hygiene);INFRA_WASH
Infrastructure & resources;Transport and boarding;INFRA_TRANS
Infrastructure & resources;Other;INFRA_OTHER
Infrastructure & resources;NA;NA
Curriculum;Design and development;CUR_DVPMT
Curriculum;Content and learning areas;CUR_CONTENT
Curriculum;Organization and instructional time;CUR_ORG
Curriculum;Curriculum implementation;CUR_IMPL
Curriculum;Curriculum evaluation and reform;CUR_EVAL
Curriculum;Competency-based and learning outcomes;CUR_LO
Curriculum;Other curriculum-related issue;CUR_OTHER
Curriculum;NA;NA
Pedagogy & assessment;Pedagogical foundations and theories;PEDAG_FOUND
Pedagogy & assessment;Teaching methods and approaches;PEDAG_METHO
Pedagogy & assessment;Technology-supported pedagogy;PEDAG_TECH
Pedagogy & assessment;Assessment and feedback;PEDAG_ASSESS
Pedagogy & assessment;Professional learning communities;PEDAG_LEARN
Pedagogy & assessment;Other pedagogy related issue;PEDAG_OTHER
Pedagogy & assessment;NA;NA
Subject domain;Literacy and language;F_LITE
Subject domain;Mathematics and numeracy;F_MATH
Subject domain;Science and technology (STEM);F_SCI
Subject domain;Social sciences and humanities;F_SOCSCI
Subject domain;Arts and culture;F_ARTS
Subject domain;Physical education and health;F_PE
